,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
0,55.9,2.0,180.0,4.36676,630.9415844106962,-1.0,-1.0,-1.0,0.0,0.0
1,9.33,1.155,150.0,5.88679,622.4771603138481,-1.0,-1.0,-1.0,0.0,0.0
2,32.61,1.155,30.0,5.81996,603.104097336423,-1.0,-1.0,-1.0,0.0,0.0
3,7.38,1.155,30.0,5.68624,574.944824073888,-1.0,-1.0,-1.0,0.0,0.0
4,41.18,1.155,150.0,4.41218,548.5597935320175,-1.0,-1.0,-1.0,0.0,0.0
5,51.04,1.155,150.0,5.90537,527.4585828212263,-1.0,-1.0,-1.0,0.0,0.0
6,26.93,1.155,150.0,4.41145,495.8418519152327,-1.0,-1.0,-1.0,0.0,0.0
7,41.0,1.155,150.0,5.88755,481.8014685304176,-1.0,-1.0,-1.0,0.0,0.0
8,31.72,1.155,150.0,5.67961,471.27738850225904,-1.0,-1.0,-1.0,0.0,0.0
9,53.92,1.155,150.0,3.50411,464.26047311279024,-1.0,-1.0,-1.0,0.0,0.0
10,46.61,1.155,30.0,4.41434,420.46961799782406,-1.0,-1.0,-1.0,0.0,0.0
11,44.28,1.155,150.0,5.03241,411.7238109203374,-1.0,-1.0,-1.0,0.0,0.0
12,46.11,1.155,150.0,5.87949,397.73649020252174,-1.0,-1.0,-1.0,0.0,0.0
13,52.89,1.155,150.0,5.63103,362.84072348124903,-1.0,-1.0,-1.0,0.0,0.0
14,45.8,1.155,150.0,5.86041,345.4327092772393,-1.0,-1.0,-1.0,0.0,0.0
15,6.1,1.155,150.0,4.76496,335.00505289055246,-1.0,-1.0,-1.0,0.0,0.0
16,50.88,1.155,30.0,5.76002,284.7970988552316,-1.0,-1.0,-1.0,0.0,0.0
17,47.41,1.155,150.0,5.39339,276.18365438541525,-1.0,-1.0,-1.0,0.0,0.0
18,23.23,1.155,150.0,5.83473,221.50236884345784,-1.0,-1.0,-1.0,0.0,0.0
19,42.59,1.155,30.0,5.70419,156.7908754599555,-1.0,-1.0,-1.0,0.0,0.0
20,53.38,1.155,150.0,5.33253,100.88707392368143,-1.0,-1.0,-1.0,0.0,0.0
21,41.17,1.155,150.0,5.88755,79.21645331275285,-1.0,-1.0,-1.0,0.0,0.0
22,37.45,1.155,150.0,5.90049,73.66103625068264,-1.0,-1.0,-1.0,0.0,0.0
23,40.9,1.155,30.0,5.90106,69.93232898856249,-1.0,-1.0,-1.0,0.0,0.0
24,11.74,1.155,150.0,5.75385,72.7303549669512,-1.0,-1.0,-1.0,0.0,0.0
25,32.07,1.155,150.0,4.82495,80.0971109932579,-1.0,-1.0,-1.0,0.0,0.0
26,11.13,1.155,30.0,5.75053,92.83526550951849,-1.0,-1.0,-1.0,0.0,0.0
27,42.68,1.155,30.0,5.69152,95.39716367591049,-1.0,-1.0,-1.0,0.0,0.0
28,4.39,1.155,150.0,5.88149,99.35115375524212,-1.0,-1.0,-1.0,0.0,0.0
29,9.07,1.155,150.0,5.75157,102.05696486124852,-1.0,-1.0,-1.0,0.0,0.0
30,45.71,1.155,150.0,5.90067,110.45886356337206,-1.0,-1.0,-1.0,0.0,0.0
31,41.58,1.155,30.0,4.62855,151.74663594281571,-1.0,-1.0,-1.0,0.0,0.0
32,46.38,1.155,30.0,5.91079,171.19726799662368,-1.0,-1.0,-1.0,0.0,0.0
33,26.25,1.155,150.0,5.88429,236.55108299755057,-1.0,-1.0,-1.0,0.0,0.0
34,48.75,1.155,30.0,5.33808,269.05908206904377,-1.0,-1.0,-1.0,0.0,0.0
35,30.07,1.155,150.0,3.97347,288.0035173649031,-1.0,-1.0,-1.0,0.0,0.0
36,34.37,1.155,150.0,5.29261,301.82118190558623,-1.0,-1.0,-1.0,0.0,0.0
37,55.63,1.155,30.0,5.86728,338.2354205825647,-1.0,-1.0,-1.0,0.0,0.0
38,43.58,1.155,150.0,5.56436,409.72484808199704,-1.0,-1.0,-1.0,0.0,0.0
39,53.83,1.155,150.0,4.21364,437.72660992584684,-1.0,-1.0,-1.0,0.0,0.0
40,50.62,18.475,90.0,5.78973,612.7382278307081,-1.0,-1.0,-1.0,0.0,0.0
41,53.16,2.0,60.0,5.82206,622.9610056434954,-1.0,-1.0,-1.0,0.0,0.0
42,54.26,14.468,94.0,4.38858,595.954538203732,-1.0,-1.0,-1.0,0.0,0.0
43,58.78,13.317,85.7,5.24175,581.8721839342364,-1.0,-1.0,-1.0,0.0,0.0
44,59.96,3.464,90.0,5.82843,573.4190848363578,-1.0,-1.0,-1.0,0.0,0.0
45,48.88,16.773,93.4,5.84316,560.7489534589213,-1.0,-1.0,-1.0,0.0,0.0
46,12.9,20.232,92.8,5.8016,537.8849586305977,-1.0,-1.0,-1.0,0.0,0.0
47,39.27,4.163,76.1,5.691,550.1962787977113,-1.0,-1.0,-1.0,0.0,0.0
48,51.25,31.177,90.0,5.62509,511.28983432961587,-1.0,-1.0,-1.0,0.0,0.0
49,37.79,1.155,30.0,5.62425,527.3334316111739,-1.0,-1.0,-1.0,0.0,0.0
50,40.26,2.0,120.0,5.87591,494.54274441284144,-1.0,-1.0,-1.0,0.0,0.0
51,38.83,3.055,70.9,4.83422,492.2007989994067,-1.0,-1.0,-1.0,0.0,0.0
52,25.76,5.773,90.0,4.95864,484.3622319806257,-1.0,-1.0,-1.0,0.0,0.0
53,37.8,5.292,100.9,5.68564,478.73588160640827,-1.0,-1.0,-1.0,0.0,0.0
54,55.66,6.928,90.0,5.80406,467.404154193185,-1.0,-1.0,-1.0,0.0,0.0
55,52.19,5.292,79.1,5.83906,473.4723670757646,-1.0,-1.0,-1.0,0.0,0.0
56,50.46,3.055,109.1,5.27717,462.3613083075741,-1.0,-1.0,-1.0,0.0,0.0
57,43.59,6.429,81.1,5.75223,423.8145048276872,-1.0,-1.0,-1.0,0.0,0.0
58,58.42,2.0,120.0,5.15418,419.7265028082775,-1.0,-1.0,-1.0,0.0,0.0
59,54.43,13.856,90.0,5.71469,404.35395561862197,-1.0,-1.0,-1.0,0.0,0.0
60,51.56,7.572,82.4,5.64029,415.05854790150124,-1.0,-1.0,-1.0,0.0,0.0
61,16.67,6.429,98.9,4.16251,394.07425702859996,-1.0,-1.0,-1.0,0.0,0.0
