,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
0,18.14,2.0,180.0,4.73273,1.5774323492720699,-1.0,-1.0,-1.0,-1.0,0.0,0.0
1,51.23,1.155,30.0,5.51349,33.13916793859091,-1.0,-1.0,-1.0,-1.0,0.0,0.0
2,15.48,1.155,150.0,4.01971,49.260703487450805,-1.0,-1.0,-1.0,-1.0,0.0,0.0
3,43.51,1.155,30.0,1.4193,65.38289286431781,-1.0,-1.0,-1.0,-1.0,0.0,0.0
4,38.15,1.155,150.0,5.85136,88.67208020249646,-1.0,-1.0,-1.0,-1.0,0.0,0.0
5,42.7,1.155,30.0,4.73864,62.523201204269306,-1.0,-1.0,-1.0,-1.0,0.0,0.0
6,31.37,1.155,150.0,5.63042,42.865337365544995,-1.0,-1.0,-1.0,-1.0,0.0,0.0
7,51.24,1.155,150.0,5.83915,14.514943890911585,-1.0,-1.0,-1.0,-1.0,0.0,0.0
8,53.31,1.155,30.0,5.73598,20.306871240223433,-1.0,-1.0,-1.0,-1.0,0.0,0.0
9,45.57,1.155,30.0,5.65833,45.20494315120304,-1.0,-1.0,-1.0,-1.0,0.0,0.0
10,27.88,1.155,150.0,4.20843,72.0185828623005,-1.0,-1.0,-1.0,-1.0,0.0,0.0
11,42.6,1.155,150.0,5.68816,82.75184446727474,-1.0,-1.0,-1.0,-1.0,0.0,0.0
12,45.27,1.155,30.0,5.18427,134.6680195200797,-1.0,-1.0,-1.0,-1.0,0.0,0.0
13,59.0,1.155,30.0,5.69886,170.48173924990985,-1.0,-1.0,-1.0,-1.0,0.0,0.0
14,59.42,1.155,30.0,5.4184,209.88708178464051,-1.0,-1.0,-1.0,-1.0,0.0,0.0
15,17.76,1.155,150.0,5.67008,233.16850785069838,-1.0,-1.0,-1.0,-1.0,0.0,0.0
16,52.28,1.155,30.0,1.47155,243.05588315307952,-1.0,-1.0,-1.0,-1.0,0.0,0.0
17,47.35,1.155,30.0,5.87473,240.66695803049618,-1.0,-1.0,-1.0,-1.0,0.0,0.0
18,48.31,1.155,30.0,5.10929,235.7565554440412,-1.0,-1.0,-1.0,-1.0,0.0,0.0
19,20.08,1.155,30.0,5.87684,237.27201175341358,-1.0,-1.0,-1.0,-1.0,0.0,0.0
20,20.45,1.155,150.0,4.6197,239.6313100199309,-1.0,-1.0,-1.0,-1.0,0.0,0.0
21,45.31,1.155,150.0,5.32089,238.89646358691758,-1.0,-1.0,-1.0,-1.0,0.0,0.0
22,60.47,1.155,150.0,5.568,208.48082616034634,-1.0,-1.0,-1.0,-1.0,0.0,0.0
23,35.64,1.155,30.0,5.80091,203.47277719495392,-1.0,-1.0,-1.0,-1.0,0.0,0.0
24,23.29,1.155,30.0,5.89015,173.83794115716765,-1.0,-1.0,-1.0,-1.0,0.0,0.0
25,12.06,1.155,30.0,5.81058,170.60313140541976,-1.0,-1.0,-1.0,-1.0,0.0,0.0
26,8.95,1.155,30.0,5.78445,121.54811923709362,-1.0,-1.0,-1.0,-1.0,0.0,0.0
27,43.48,1.155,150.0,5.09936,92.36656932596726,-1.0,-1.0,-1.0,-1.0,0.0,0.0
28,39.15,1.155,30.0,3.55799,82.1375253599531,-1.0,-1.0,-1.0,-1.0,0.0,0.0
29,46.3,1.155,30.0,5.90945,74.81541900802323,-1.0,-1.0,-1.0,-1.0,0.0,0.0
30,43.02,1.155,150.0,5.57347,75.90679799250437,-1.0,-1.0,-1.0,-1.0,0.0,0.0
31,36.23,1.155,30.0,5.84384,113.78385417198908,-1.0,-1.0,-1.0,-1.0,0.0,0.0
32,56.72,1.155,150.0,5.44341,141.3620474913135,-1.0,-1.0,-1.0,-1.0,0.0,0.0
33,49.09,1.155,30.0,4.70995,177.76274828257147,-1.0,-1.0,-1.0,-1.0,0.0,0.0
34,52.25,1.155,150.0,5.52692,195.84798105983515,-1.0,-1.0,-1.0,-1.0,0.0,0.0
35,48.39,1.155,150.0,4.6092,222.63929978799715,-1.0,-1.0,-1.0,-1.0,0.0,0.0
36,38.16,1.155,30.0,4.57091,241.30654170056374,-1.0,-1.0,-1.0,-1.0,0.0,0.0
37,42.61,1.155,30.0,5.27263,275.62456757962394,-1.0,-1.0,-1.0,-1.0,0.0,0.0
38,21.68,1.155,150.0,5.48021,301.59006874356703,-1.0,-1.0,-1.0,-1.0,0.0,0.0
39,22.11,30.616,88.1,4.68034,17.083120181038456,-1.0,-1.0,-1.0,-1.0,0.0,0.0
40,59.18,15.621,93.7,5.41312,40.926164744868686,-1.0,-1.0,-1.0,-1.0,0.0,0.0
41,50.24,8.718,96.6,5.7067,54.058240909728404,-1.0,-1.0,-1.0,-1.0,0.0,0.0
42,55.45,1.155,30.0,5.89051,49.28249783788093,-1.0,-1.0,-1.0,-1.0,0.0,0.0
43,17.97,6.429,81.1,5.81033,61.81695305998642,-1.0,-1.0,-1.0,-1.0,0.0,0.0
44,39.91,11.015,95.2,5.66851,70.77047567384136,-1.0,-1.0,-1.0,-1.0,0.0,0.0
45,47.28,6.429,98.9,5.16849,92.26709316712743,-1.0,-1.0,-1.0,-1.0,0.0,0.0
46,26.44,12.166,85.3,4.30067,82.71278563681143,-1.0,-1.0,-1.0,-1.0,0.0,0.0
47,48.42,12.166,85.3,5.69777,79.77732905602633,-1.0,-1.0,-1.0,-1.0,0.0,0.0
48,48.32,8.083,90.0,5.55836,66.96811010011528,-1.0,-1.0,-1.0,-1.0,0.0,0.0
49,24.67,11.015,95.2,5.90594,57.098981829873615,-1.0,-1.0,-1.0,-1.0,0.0,0.0
50,43.14,23.692,92.4,5.79363,30.283208367093383,-1.0,-1.0,-1.0,-1.0,0.0,0.0
51,53.98,8.718,83.4,4.86158,46.96121954651307,-1.0,-1.0,-1.0,-1.0,0.0,0.0
52,47.52,8.718,96.6,5.89314,9.631545628049203,-1.0,-1.0,-1.0,-1.0,0.0,0.0
53,52.22,4.163,76.1,4.78826,16.054040504392415,-1.0,-1.0,-1.0,-1.0,0.0,0.0
54,55.0,6.429,81.1,5.59362,6.940286544315805,17.0,-1.0,0.0,0.024370952948309876,1.0,0.9
55,59.84,17.926,93.2,5.57009,29.052086525802423,-1.0,-1.0,-1.0,-1.0,0.0,0.0
56,39.02,2.0,60.0,5.85976,43.941167264749936,-1.0,-1.0,-1.0,-1.0,0.0,0.0
57,17.36,14.468,94.0,5.80211,52.28512464753976,-1.0,-1.0,-1.0,-1.0,0.0,0.0
58,46.39,5.292,100.9,3.96058,74.95558899147068,-1.0,-1.0,-1.0,-1.0,0.0,0.0
59,55.48,12.166,85.3,5.86417,66.00566961462877,-1.0,-1.0,-1.0,-1.0,0.0,0.0
60,37.64,23.692,92.4,5.64405,95.24699161529037,-1.0,-1.0,-1.0,-1.0,0.0,0.0
61,49.09,2.0,60.0,4.32969,82.118545870781,-1.0,-1.0,-1.0,-1.0,0.0,0.0
62,31.83,5.292,79.1,4.27025,131.6610518468162,-1.0,-1.0,-1.0,-1.0,0.0,0.0
63,49.95,9.238,90.0,5.59219,139.1319040324918,-1.0,-1.0,-1.0,-1.0,0.0,0.0
64,50.23,6.429,98.9,5.62666,154.34720701600642,-1.0,-1.0,-1.0,-1.0,0.0,0.0
65,19.17,12.166,85.3,5.91944,163.89658940926262,-1.0,-1.0,-1.0,-1.0,0.0,0.0
66,54.54,35.233,91.6,5.87901,188.37296176195161,-1.0,-1.0,-1.0,-1.0,0.0,0.0
67,51.99,3.055,70.9,5.74424,208.07756849188655,-1.0,-1.0,-1.0,-1.0,0.0,0.0
68,36.37,15.621,93.7,5.87033,217.63268065424492,-1.0,-1.0,-1.0,-1.0,0.0,0.0
69,30.28,9.866,95.8,5.88046,238.52693041824173,-1.0,-1.0,-1.0,-1.0,0.0,0.0
