,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
881,47.16,20.232,27.2,5.83911,8.615280946172206,4.0,6.635766357915343,2.0,1.0,0.8
882,53.14,5.292,160.9,4.92801,2.346940118067378,0.0,0.5012467893486495,2.0,1.0,1.0
894,38.22,13.115,52.4,5.5463,2.835000000000036,0.0,3.03946175997843,2.0,1.0,0.9
903,11.01,6.0,60.0,5.56963,3.63977297493302,0.0,-1.0,0.0,1.0,0.9
914,4.1,13.013,62.5,5.8224,3.055140705343776,7.0,-1.0,0.0,1.0,1.0
955,37.54,6.11,70.9,5.87032,6.925727850568934,5.0,0.48882251285499206,2.0,1.0,1.0
956,33.51,4.163,76.1,5.80638,3.462863925284469,4.0,-1.0,0.0,1.0,1.0
976,7.76,3.055,49.1,5.79601,10.221868759300447,4.0,0.0,2.0,1.0,0.7
982,16.65,7.211,106.1,5.90486,6.619579863181374,4.0,0.0,2.0,1.0,0.9
985,41.84,9.866,35.8,5.22461,6.110281410687566,5.0,10.955708485825472,2.0,1.0,1.0
1001,53.07,19.079,174.8,4.37107,12.538632950336606,4.0,15.222754505212786,2.0,1.0,0.7
1413,40.11,42.332,19.1,5.91982,7.925976190299839,2.0,8.720820603610427,2.0,1.0,0.9
1487,57.41,8.327,136.1,5.70744,5.693548387096712,3.0,-1.0,0.0,1.0,1.0
1507,10.49,4.0,120.0,4.95481,5.805381058656839,3.0,-1.0,0.0,1.0,1.0
1525,11.48,4.0,120.0,5.53433,2.410577812736878,3.0,-1.0,0.0,1.0,1.0
1533,26.54,4.0,60.0,3.87993,5.921687630334703,2.0,-1.0,0.0,1.0,1.0
1543,29.09,4.163,76.1,5.82815,9.693870308861998,2.0,9.385200305478563,2.0,1.0,0.8
1549,10.51,6.0,120.0,5.89398,10.853373557065062,2.0,-1.0,0.0,1.0,0.6
1553,11.58,21.939,90.0,5.90216,9.768742868773412,2.0,-1.0,0.0,1.0,0.8
1562,35.89,26.633,167.5,4.68802,12.623829810534026,2.0,-1.0,0.0,1.0,0.6
1786,47.04,28.844,166.1,5.8938,14.277538632105294,6.0,0.0,3.0,1.0,0.5
1825,47.59,6.0,120.0,4.50782,9.929369794772066,6.0,0.0,3.0,1.0,1.0
1826,33.56,28.0,180.0,4.6559,14.277538632105294,6.0,0.0,3.0,1.0,0.5
1832,47.8,5.033,53.4,4.06321,12.689054071766458,6.0,-1.0,0.0,1.0,0.7
1852,12.34,4.0,120.0,4.43372,10.441591434484677,6.0,0.0,2.0,1.0,0.9
1864,46.54,10.392,150.0,5.91642,12.431023255215035,6.0,-1.0,0.0,1.0,0.8
1865,10.06,8.327,163.9,5.22018,12.01010787510658,6.0,-1.0,0.0,1.0,0.8
1866,45.1,4.0,180.0,5.38841,15.614681367852615,6.0,2.2774193548386847,2.0,1.0,0.4
