,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
437,33.64,8.0,60.0,4.49719,6.166828500553361,1.0,-1.0,0.0,1,1.0
2251,9.34,6.0,60.0,5.33409,6.679431877024379,2.0,0.0,2.0,1,1.0
294,51.66,5.033,66.6,4.37854,6.481249999999996,4.0,-1.0,0.0,1,1.0
821,57.75,41.761,144.5,5.40338,5.880133366234883,5.0,4.641006035787224,1.0,1,1.0
2580,47.74,13.614,162.7,5.90803,5.89656789654786,6.0,-1.0,0.0,1,1.0
2748,8.91,5.033,113.4,5.84708,9.723778282776049,7.0,-1.0,0.0,1,1.0
2799,8.85,5.033,113.4,5.57213,7.227239347606438,8.0,-1.0,0.0,1,1.0
2647,40.77,6.0,120.0,5.78912,6.459979736575463,10.0,0.8326932958950622,2.0,1,1.0
1306,33.3,12.858,39.0,5.91428,10.879789567601884,12.0,-1.0,0.0,1,1.0
440,54.88,13.317,94.3,4.97249,6.319020284988484,13.0,-1.0,0.0,1,1.0
