,phi1_right,PHI_right,phi2_right,phi1_left,PHI_left,phi2_left,misorientation,mis_x_right,mis_y_right,mis_z_right,mis_x_left,mis_y_left,mis_z_left,Length,Trace,x_start,y_start,x_end,y_end,gbID_right,gbID_left,Sigma,Distance_Center,Void_id,x_junction,y_junction,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
305,2.403,0.369,4.287,0.078,0.473,5.957,54.94,-21.0,8.0,16.0,-21.0,8.0,16.0,18.583,23.8,37.0,643.75,54.0,636.24,2129.0,1721.0,5.8866,14.215932812704356,2.0,57.497683535281546,634.1036005434783,4.662445132217398,2.0,0.28256044976909256,1.0,1.0
341,5.85,0.894,0.879,0.078,0.473,5.957,53.08,-2.0,-12.0,-17.0,-2.0,-12.0,-17.0,8.327,136.1,46.0,622.38,52.0,628.16,1376.0,1721.0,5.91233,14.366348777441823,2.0,57.497683535281546,634.1036005434783,8.932166924672554,2.0,0.4267171134409939,1.0,1.0
356,0.078,0.473,5.957,5.587,0.991,0.932,54.49,-9.0,19.0,-18.0,-9.0,19.0,-18.0,8.327,103.9,52.0,628.16,54.0,636.24,1721.0,1964.0,4.83068,14.215932812704356,2.0,-1.0,-1.0,-1.0,0.0,0.21234299146072866,1.0,1.0
429,5.85,0.894,0.879,2.403,0.369,4.287,49.55,19.0,17.0,-15.0,19.0,17.0,-15.0,11.719,159.8,72.0,646.63,83.0,650.67,1376.0,2129.0,5.4204,18.4348836170793,2.0,-1.0,-1.0,-1.0,0.0,0.04029731871474177,1.0,0.8
2015,2.275,0.254,3.992,5.511,0.911,0.961,55.19,-7.0,-11.0,-12.0,-7.0,-11.0,-12.0,28.095,175.3,474.0,767.88,502.0,770.19,2354.0,2432.0,5.16563,11.443416011647788,1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
2464,0.393,0.594,6.257,0.442,0.692,5.906,18.75,-7.0,-4.0,24.0,-7.0,-4.0,24.0,27.495,169.1,606.0,503.45,633.0,508.65,1051.0,1028.0,5.10259,6.551258199355086,5.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
2567,3.409,0.513,3.053,3.72,0.773,2.803,18.18,17.0,19.0,0.0,17.0,19.0,0.0,26.153,143.4,642.0,823.3,663.0,838.89,2474.0,2504.0,4.06295,14.243216575189896,0.0,662.2469262295082,838.41796875,0.0,3.0,0.03315581955923446,1.0,0.9
2637,3.72,0.773,2.803,6.091,0.243,0.266,40.25,26.0,-13.0,-1.0,26.0,-13.0,-1.0,12.49,76.1,660.0,851.01,663.0,838.89,2504.0,2512.0,5.87344,8.25211253755253,0.0,662.2469262295082,838.41796875,0.0,3.0,0.4459202820675281,1.0,1.0
2639,3.979,0.518,2.804,5.292,0.431,0.394,38.51,-16.0,13.0,-13.0,-16.0,13.0,-13.0,23.065,175.7,661.0,453.22,684.0,454.95,851.0,751.0,4.8375,18.537317125967355,8.0,-1.0,-1.0,-1.0,0.0,0.011855865031020915,1.0,1.0
2643,3.409,0.513,3.053,6.091,0.243,0.266,42.97,-23.0,0.0,4.0,-23.0,0.0,4.0,23.18,7.2,663.0,838.89,686.0,836.0,2474.0,2512.0,5.87334,14.243216575189896,0.0,662.2469262295082,838.41796875,0.0,3.0,0.28323229593145655,1.0,0.9
2699,6.091,0.243,0.266,2.489,0.837,4.275,60.31,8.0,20.0,-21.0,8.0,20.0,-21.0,6.429,158.9,680.0,861.41,686.0,863.72,2512.0,2541.0,5.75504,15.347520631494653,0.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8
2778,3.979,0.518,2.804,5.837,0.958,0.804,44.59,16.0,4.0,21.0,16.0,4.0,21.0,29.866,39.6,698.0,483.82,721.0,464.77,851.0,942.0,5.8095,20.158316109027798,8.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.9
2857,4.139,0.405,1.415,5.292,0.431,0.394,25.74,-7.0,-5.0,-1.0,-7.0,-5.0,-1.0,43.189,54.6,721.0,456.68,746.0,421.47,775.0,751.0,4.6086,18.424180327868953,8.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
3181,0.203,0.583,6.045,1.388,0.762,4.238,58.59,3.0,-21.0,-20.0,3.0,-21.0,-20.0,29.866,20.4,830.0,636.24,858.0,625.85,1411.0,1959.0,5.56173,26.998808361105304,4.0,862.0903502235471,624.1969105113636,4.610466493712515,1.0,0.09147750979588323,1.0,0.4
3267,3.442,0.632,3.116,3.394,0.443,2.763,25.1,-6.0,-2.0,13.0,-6.0,-2.0,13.0,7.024,115.3,841.0,581.39,844.0,587.74,1255.0,1301.0,4.36574,29.320771146883164,4.0,859.9811847988077,619.9831321022726,37.00436146041224,2.0,0.7342135210399254,1.0,0.2
3273,3.442,0.632,3.116,0.203,0.583,6.045,26.93,21.0,-18.0,5.0,21.0,-18.0,5.0,9.866,144.2,842.0,608.53,850.0,614.3,1255.0,1411.0,5.17426,22.99469977515385,4.0,859.9811847988077,619.9831321022727,12.286110029866567,2.0,0.36522280180641326,1.0,0.6
3277,3.394,0.443,2.763,3.465,0.603,3.041,21.61,10.0,5.0,-23.0,10.0,5.0,-23.0,12.858,141.0,843.0,581.39,853.0,589.47,1301.0,1302.0,5.91298,20.46336084199287,4.0,-1.0,-1.0,-1.0,0.0,0.11785187242844432,1.0,0.7
3278,3.465,0.603,3.041,4.814,0.755,0.963,53.25,6.0,-15.0,-11.0,6.0,-15.0,-11.0,12.0,180.0,843.0,581.39,855.0,581.39,1302.0,1120.0,5.90793,24.970324353354815,4.0,854.6772540983607,580.7578125,0.0,2.0,0.04916557381782755,1.0,0.5
3322,3.465,0.603,3.041,3.526,0.671,3.119,8.56,13.0,8.0,-25.0,13.0,8.0,-25.0,9.018,116.3,855.0,581.39,859.0,589.47,1302.0,1303.0,5.89797,15.978424373996933,4.0,854.6772540983607,580.7578125,0.0,2.0,0.17888684665247492,1.0,1.0
3335,1.388,0.762,4.238,5.119,0.537,1.958,59.16,-17.0,-17.0,-18.0,-17.0,-17.0,-18.0,35.851,93.2,859.0,626.43,861.0,662.22,1959.0,1673.0,5.88353,26.588234931257077,4.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.4
